country,country_code_2_digit,country_code_3_digit,population,reported_date,confirmed cases_count,deaths_count,source
Greece,EL,GRC,10724599,2020-07-19,19,0,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,2020-08-31,0,0,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-10-21,134,1,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-08-22,204,3,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-09-18,622,11,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-04-14,10,0,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-08-21,129,1,"Epidemic intelligence, national daily data"
Faroes,,,48865,2020-04-18,0,0,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,2020-01-02,0,0,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-02-21,0,0,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-04-19,0,0,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,2020-03-26,7,0,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-08-28,2,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-02-27,0,0,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,2020-07-12,0,0,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,2020-05-21,1,0,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-09-18,2,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2020-03-12,121,1,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,2020-01-30,1,0,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-03-14,57,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-10-09,2,0,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,2020-01-11,0,0,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,2020-04-04,43,0,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-04-04,122,0,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-03-15,3,0,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-01-20,0,0,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-09-01,0,0,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-04-19,351,17,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-10-08,121,1,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,2020-09-25,123,3,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-05-25,213,9,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2020-01-13,0,0,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,2020-08-07,1318,31,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-09-07,315,2,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-10-18,227,2,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,2020-04-25,477,6,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-06-29,254,3,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-08-02,0,0,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-05-26,305,11,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-10-02,175,0,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,2020-01-14,0,0,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-09-13,0,0,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-09-13,201,1,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-09-26,7212,108,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-05-18,1,0,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-06-07,0,0,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,2020-10-03,8702,68,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,2020-07-22,673,20,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-08-17,200,1,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-04-12,401,27,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-06-20,551,13,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-09-07,225,1,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-05-19,1,0,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-08-04,5,0,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-02-18,0,0,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-03-19,11,0,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,2020-07-17,99,3,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-06-29,66,3,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-01-07,0,0,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-03-18,0,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-10-13,608,5,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,2020-01-05,0,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-08-21,255,0,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-09-28,128,1,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,2020-01-27,0,0,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-05-03,96,11,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-01-22,0,0,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-04-27,28,0,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,2020-07-05,67,2,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,2020-09-26,46,1,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-05-08,9,1,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-09-03,102,2,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-09-01,51,0,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-07-16,0,0,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-09-29,77,3,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-02-17,0,0,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-03-27,9,0,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-04-13,21,2,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-10-17,92,1,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-03-05,66,0,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,2020-01-31,0,0,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,2020-05-25,0,0,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-06-27,9,3,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-10-23,662,2,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-04-06,69,0,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-03-02,18,0,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-06-08,0,0,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,2020-03-25,3,0,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-10-11,306,5,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-08-28,251,6,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-02-05,0,0,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-01-05,0,0,"Epidemic intelligence, national daily data"
Faroes,,,48865,2020-05-12,0,0,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-02-06,0,0,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-02-14,0,0,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-05-17,92,15,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-02-03,0,0,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-06-29,262,4,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-02-21,0,0,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2020-01-04,0,0,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,2020-04-10,32,0,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2020-04-06,4316,527,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2020-07-15,0,0,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2020-04-21,2256,454,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-09-06,231,0,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,2020-06-24,0,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-08-21,43,0,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-08-27,379,0,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-10-18,0,0,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-04-30,362,25,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-09-16,74,2,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,2020-06-01,265,46,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-10-21,3400,65,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,2020-08-18,174,3,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-09-13,603,13,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,2020-01-09,0,0,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-07-19,339,6,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-07-31,255,2,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-06-21,94,1,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-05-10,320,28,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-09-05,0,0,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-10-21,3008,7,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-05-09,1,0,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-08-16,771,11,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,2020-02-03,0,0,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-02-05,0,0,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,2020-10-21,18639,49,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-06-09,0,0,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-06-23,79,8,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-09-29,216,11,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-05-14,76,6,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-09-21,20,0,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-10-22,733,4,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-04-03,73,3,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,2020-10-07,158,3,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-08-07,303,9,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,2020-04-17,52,1,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-03-24,71,0,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-05-26,2,0,"Epidemic intelligence, national daily data"
Bosnia and Herzegovina,BA,BIH,3280815,2020-08-04,188,4,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-07-20,119,0,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-02-24,0,0,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-01-29,0,0,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-04-23,95,9,"Epidemic intelligence, national daily data"
Albania,AL,ALB,2862427,2020-01-14,0,0,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-06-22,569,3,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-02-24,0,0,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-09-12,32,0,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,2020-09-14,301,1,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-03-09,0,0,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,2020-03-15,179,5,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,2020-09-03,15,0,"Epidemic intelligence, national daily data"
Faroes,,,48865,2020-08-31,0,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-06-25,1,0,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,2020-10-08,0,0,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-08-10,0,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-01-24,0,0,"Epidemic intelligence, national daily data"
Gibraltar,GI,GIB,33691,2020-02-12,0,0,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-04-23,13,2,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-03-15,6,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-04-19,0,0,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-02-12,0,0,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2020-02-04,0,0,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-09-12,211,0,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,2020-02-03,0,0,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-06-18,10,0,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-06-28,44,0,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-01-02,0,0,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-05-30,0,0,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-03-29,95,4,"Epidemic intelligence, national daily data"
Faroes,,,48865,2020-04-24,2,0,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2020-08-15,574,3,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-01-07,0,0,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-09-19,665,16,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-09-02,0,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2020-09-11,823,3,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-04-02,19,0,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-07-06,142,5,"Epidemic intelligence, national daily data"
Faroes,,,48865,2020-03-03,0,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2020-07-02,62,2,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-02-22,0,0,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-02-04,0,0,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-10-07,2828,16,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-08-15,40,0,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2020-07-05,2,0,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2020-05-04,75,10,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-01-22,0,0,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-08-12,382,7,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-08-04,169,1,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2020-09-13,1231,1,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-07-02,0,0,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2020-09-17,25,0,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-07-07,20,0,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-02-20,0,0,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,2020-06-25,81,11,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2020-10-19,11705,69,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-03-13,2,0,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,2020-07-13,2045,3,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-10-15,0,0,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-01-27,0,0,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-08-01,204,8,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-04-27,401,33,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-07-10,262,9,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-02-18,0,0,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2020-02-27,0,0,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2020-07-28,128,6,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,2020-02-07,0,0,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,2020-09-03,1298,40,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-03-20,16,0,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-10-01,5,0,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-07-22,0,0,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2020-04-15,54,6,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-06-03,230,18,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-09-29,30,1,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-09-07,56,1,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,2020-05-31,0,0,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-10-25,0,0,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-06-27,0,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-06-07,1,0,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,2020-08-29,0,0,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-06-27,58,0,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-09-30,231,1,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-07-20,0,0,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2020-04-15,4178,1076,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2020-05-26,21,0,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,2020-04-18,5292,913,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,2020-08-11,7,0,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,2020-01-16,0,0,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-10-03,144,1,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-06-29,1,0,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-08-31,135,2,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-05-10,951,5,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-04-13,66,2,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,2020-06-01,49,22,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-03-22,375,2,"Epidemic intelligence, national daily data"
Belgium,BE,BEL,11455519,2020-10-20,15073,49,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-07-03,1,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-09-09,204,2,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-06-14,2,0,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-08-14,229,1,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-02-07,0,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-08-22,265,1,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-09-13,23,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-03-12,0,0,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-02-02,0,0,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,2020-03-20,1,0,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,2020-08-26,1576,3,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-10-12,0,0,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-05-17,0,0,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,2020-04-23,0,5,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-08-27,5,0,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-09-17,627,15,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-05-09,35,13,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,2020-10-13,8505,95,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,2020-03-19,0,0,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-04-11,13,1,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-01-09,0,0,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,2020-04-13,48,10,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-03-19,0,0,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-06-09,1,0,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-02-11,0,0,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-05-24,9,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-07-23,1,0,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2020-03-16,0,0,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,2020-08-01,1346,11,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-07-02,0,0,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,2020-05-26,0,0,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-05-27,0,0,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,2020-10-25,166,2,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-03-16,0,0,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-06-24,0,0,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-08-29,1,0,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,2020-08-16,196,0,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-05-10,0,0,"Epidemic intelligence, national daily data"
Liechtenstein,LI,LIE,38378,2020-08-06,0,0,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-01-10,0,0,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-01-17,0,0,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,2020-04-08,143,7,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-01-03,0,0,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-05-15,9974,93,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,2020-08-04,5760,26,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,2020-10-17,1180,1,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2020-07-14,1008,19,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-07-30,192,0,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-09-19,5905,134,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-05-10,285,9,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-02-22,0,0,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-03-29,902,24,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2020-01-04,0,0,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-05-20,223,16,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,2020-08-12,417,4,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-10-09,2243,4,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,2020-08-10,8618,73,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-01-23,0,0,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,2020-09-28,3130,56,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,2020-07-01,706,12,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-06-28,0,0,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2020-03-07,0,0,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-02-17,0,0,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,2020-05-13,439,184,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-08-14,811,14,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-08-19,15,0,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-05-08,14,0,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,2020-07-16,836,15,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2020-09-19,1771,62,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-05-04,0,0,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-04-30,7,2,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-05-06,37,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-08-25,136,2,"Epidemic intelligence, national daily data"
Armenia,AM,ARM,2963234,2020-05-03,113,2,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-04-21,38,0,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-09-09,139,1,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,2020-01-05,0,0,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-03-11,2,0,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-07-18,298,4,"Epidemic intelligence, national daily data"
Estonia,EE,EST,1324820,2020-05-21,3,0,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-01-17,0,0,"Epidemic intelligence, national daily data"
